DISTRICT,mean,min,max,std
City and County of the City of London,0.23527956793017937,0.0547300489592801,0.4558972447691968,0.11137001413879422
City of Westminster,0.32089897978051174,0.0204807088638135,0.8607950829289802,0.15611726545170632
Camden,0.38752846087766024,0.028693803992022,1.3340453265115473,0.22016721585962154
Kensington and Chelsea,0.4393124861621509,0.0327720539142438,1.3387746721104656,0.2205049427498725
Brent,0.4669076896065332,0.4669076896065332,0.4669076896065332,
Hammersmith and Fulham,0.4708881475664177,0.0459685434558609,1.489264945376773,0.31179238023870876
Islington,0.6006765440112004,0.0254470914474772,1.7540822283147943,0.31575944838095843
Tower Hamlets,0.646544775403763,0.039523664014949,1.992393535174584,0.33657659002923945
Lambeth,1.0831455140532344,0.013874542717631,5.229597982512514,1.0303264557206793
Wandsworth,1.110838916703517,0.0550511469467452,2.8827361841874395,0.6273927986077552
Southwark,1.2444542197817154,0.03465944494535,4.801408221664383,1.1116746564137328
Hackney,1.4764786509094396,0.0828484492139097,3.2347632676776112,0.7844191214086939
Greenwich,3.8565114181330182,0.143695127335709,8.503881682890109,1.593911736417092
Lewisham,4.695888694668379,1.0592869624195822,9.286229385436195,1.789438975444761
