,Unnamed: 0,realSum,room_type,room_shared,room_private,person_capacity,host_is_superhost,multi,biz,cleanliness_rating,guest_satisfaction_overall,bedrooms,dist,metro_dist,attr_index,attr_index_norm,rest_index,rest_index_norm,lng,lat,day_type,cluster_label,geometry,index_right,NAME,GSS_CODE,DISTRICT,LAGSSCODE,HECTARES,NONLD_AREA,borough_name
0,0,570.0980738023002,Entire home/apt,False,False,2.0,False,0,0,10.0,98.0,1,5.30101781893181,1.5889903587574374,209.63257755897288,14.571793090483984,467.597522331187,8.372723823208341,-0.16032,51.465309999999995,Weekday,18,POINT (-0.16032 51.465309999999995),446,Shaftesbury,E05000623,Wandsworth,E09000032,94.789,0.0,Shaftesbury
7,7,155.69510101366447,Private room,False,True,2.0,False,1,0,10.0,95.0,1,5.102453380170875,1.0137060917050809,214.2639621656098,14.8937257738303,453.66812375977366,8.123306318426883,-0.15177,51.46504,Weekday,18,POINT (-0.15177 51.46504),446,Shaftesbury,E05000623,Wandsworth,E09000032,94.789,0.0,Shaftesbury
18,18,207.4366753686587,Private room,False,True,2.0,True,1,0,10.0,99.0,1,5.1166711022157045,1.674405568207107,217.13636202951164,15.093389475804951,465.63220181923566,8.337533119483867,-0.1606,51.46724,Weekday,18,POINT (-0.1606 51.46724),446,Shaftesbury,E05000623,Wandsworth,E09000032,94.789,0.0,Shaftesbury
32,32,265.5283520308568,Private room,False,True,2.0,False,1,0,10.0,100.0,1,5.397046247556926,1.4832861886396351,205.17507346431543,14.261947034476483,457.36613817998625,8.189522352421932,-0.15921,51.46404,Weekday,18,POINT (-0.15921 51.46404),446,Shaftesbury,E05000623,Wandsworth,E09000032,94.789,0.0,Shaftesbury
62,62,262.9412733131071,Entire home/apt,False,False,4.0,False,0,0,9.0,93.0,1,4.875280480218721,1.0902735436215445,223.7916984905927,15.556009298485634,470.1407573370467,8.4182625681859,-0.15129,51.4671,Weekday,18,POINT (-0.15129 51.4671),446,Shaftesbury,E05000623,Wandsworth,E09000032,94.789,0.0,Shaftesbury
79,79,213.55158870152167,Private room,False,True,2.0,False,1,0,10.0,97.0,1,4.681156812357796,1.3206831410978832,233.4838748841068,16.229723234779865,482.9387406878486,8.64742113933502,-0.15277,51.46932,Weekday,18,POINT (-0.15277 51.46932),446,Shaftesbury,E05000623,Wandsworth,E09000032,94.789,0.0,Shaftesbury
124,124,172.39351819186717,Private room,False,True,2.0,False,1,0,10.0,87.0,2,4.744970249760348,1.4689365642957606,231.67135912110524,16.10373325278735,480.8126228036163,8.609351224482792,-0.15538,51.46939,Weekday,18,POINT (-0.15538 51.46939),446,Shaftesbury,E05000623,Wandsworth,E09000032,94.789,0.0,Shaftesbury
128,128,272.1136433124015,Private room,False,True,2.0,False,1,0,10.0,100.0,1,5.255891692110074,1.05975110307991,208.53788280501664,14.495699643379364,443.89747716115073,7.948354737980959,-0.15305,51.46386,Weekday,18,POINT (-0.15305 51.46386),446,Shaftesbury,E05000623,Wandsworth,E09000032,94.789,0.0,Shaftesbury
149,149,867.8473153178579,Entire home/apt,False,False,4.0,False,0,0,2.0,40.0,2,5.306017462789841,1.7618092663380776,210.03614137365133,14.599845259067592,461.6260884463743,8.265800316649056,-0.16261,51.46597,Weekday,18,POINT (-0.16261 51.46597),446,Shaftesbury,E05000623,Wandsworth,E09000032,94.789,0.0,Shaftesbury
209,209,164.39709306427716,Private room,False,True,2.0,True,0,0,10.0,98.0,1,5.362183991427825,1.590507823600141,214.8554094199067,14.93483792879164,471.9343669354138,8.450378644718802,-0.16055,51.46477,Weekday,18,POINT (-0.16055 51.46477),446,Shaftesbury,E05000623,Wandsworth,E09000032,94.789,0.0,Shaftesbury
222,222,414.4029727886357,Private room,False,True,2.0,False,1,0,10.0,100.0,1,4.711090293689524,1.2973644363894197,232.0052875431447,16.12694498795586,480.790103363629,8.608947995118514,-0.15273,51.46902,Weekday,18,POINT (-0.15273 51.46902),446,Shaftesbury,E05000623,Wandsworth,E09000032,94.789,0.0,Shaftesbury
363,363,532.4678379077588,Entire home/apt,False,False,4.0,False,0,0,9.0,87.0,2,5.685286557071067,1.592285987882108,195.874933529445,13.615483987456251,452.55604468286634,8.103393614582574,-0.16378,51.46252,Weekday,18,POINT (-0.16378 51.46252),446,Shaftesbury,E05000623,Wandsworth,E09000032,94.789,0.0,Shaftesbury
420,420,168.39530562807215,Private room,False,True,2.0,False,0,0,9.0,93.0,1,4.851461446408668,1.3416169311393684,226.18542415417497,15.722399825622526,472.9242240998031,8.468102863231634,-0.15454,51.46812,Weekday,18,POINT (-0.15454 51.46812),446,Shaftesbury,E05000623,Wandsworth,E09000032,94.789,0.0,Shaftesbury
466,466,215.19791152190783,Private room,False,True,2.0,False,0,0,10.0,99.0,1,5.06831963202293,1.681114522312653,219.18321091256985,15.235668213006576,467.5536946892899,8.371939052708282,-0.16042,51.46767,Weekday,18,POINT (-0.16042 51.46767),446,Shaftesbury,E05000623,Wandsworth,E09000032,94.789,0.0,Shaftesbury
476,476,194.50128177991016,Private room,False,True,2.0,False,0,0,10.0,100.0,1,4.806466461560261,1.4292978628085429,228.68890924854787,15.89641985259114,476.5752838626612,8.533478134905522,-0.15536,51.468779999999995,Weekday,18,POINT (-0.15536 51.468779999999995),446,Shaftesbury,E05000623,Wandsworth,E09000032,94.789,0.0,Shaftesbury
500,500,194.50128177991016,Private room,False,True,2.0,False,1,0,10.0,97.0,1,5.073601935885426,1.0437226175117942,215.5244895117825,14.981346428440428,457.1273255639085,8.185246213254322,-0.15202,51.46537,Weekday,18,POINT (-0.15202 51.46537),446,Shaftesbury,E05000623,Wandsworth,E09000032,94.789,0.0,Shaftesbury
1332,1332,171.9231402431854,Private room,False,True,2.0,False,1,0,9.0,91.0,1,5.011272786895426,1.4354281299357732,220.0214840582057,15.293937509571792,466.12815414560794,8.346413559734044,-0.15689,51.46719,Weekday,18,POINT (-0.15689 51.46719),446,Shaftesbury,E05000623,Wandsworth,E09000032,94.789,0.0,Shaftesbury
1899,1899,387.8266186881159,Private room,False,True,2.0,False,0,0,10.0,100.0,1,5.606962819987605,1.582848121829898,198.41096946471825,13.791766659496757,452.2387603269472,8.097712373432511,-0.16282,51.46301,Weekday,18,POINT (-0.16282 51.46301),446,Shaftesbury,E05000623,Wandsworth,E09000032,94.789,0.0,Shaftesbury
2243,2243,543.0513417530987,Entire home/apt,False,False,2.0,False,0,0,10.0,100.0,1,5.560156296520113,1.3723184404652091,198.9967416301307,13.832484332732225,440.0186910747129,7.878901836457572,-0.15925,51.46245,Weekday,18,POINT (-0.15925 51.46245),446,Shaftesbury,E05000623,Wandsworth,E09000032,94.789,0.0,Shaftesbury
4625,11,567.0406171358686,Entire home/apt,False,False,2.0,False,0,0,10.0,98.0,1,5.301028572706388,1.588976258095192,209.63219232947367,14.5723509774668,467.6004843571319,8.369233905478712,-0.16032,51.465309999999995,Weekend,18,POINT (-0.16032 51.465309999999995),446,Shaftesbury,E05000623,Wandsworth,E09000032,94.789,0.0,Shaftesbury
4666,52,180.3899433194572,Private room,False,True,2.0,False,1,0,10.0,95.0,1,5.102442485720931,1.0137199464589044,214.26444540830025,14.894356948644258,453.66939272253666,8.119891639272808,-0.15177,51.46504,Weekend,18,POINT (-0.15177 51.46504),446,Shaftesbury,E05000623,Wandsworth,E09000032,94.789,0.0,Shaftesbury
4760,146,257.76711587760764,Entire home/apt,False,False,2.0,False,1,0,10.0,97.0,2,5.289639279559722,1.7201031585207784,210.4763609235167,14.631032427581175,461.9418189846925,8.26795365518152,-0.162,51.46594,Weekend,18,POINT (-0.162 51.46594),446,Shaftesbury,E05000623,Wandsworth,E09000032,94.789,0.0,Shaftesbury
